source_platform,title,claim,raw_content,label,category,source_name,source_url,verdict_details,published_at,crawled_at,id
CekFakta Tempo,[Tempo] Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/mengapa-kerugian-korupsi-timah-menciut-tinggal-rp-29-triliun-2281868,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,2026-05-21 09:26:20,2026-08-15 03:06:29,1
CekFakta Tempo,[Tempo] Bagaimana Bisa Orang Israel Punya Bisnis di Bali,Bagaimana Bisa Orang Israel Punya Bisnis di Bali,Bagaimana Bisa Orang Israel Punya Bisnis di Bali,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/bagaimana-bisa-orang-israel-punya-bisnis-di-bali-2281884,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Bagaimana Bisa Orang Israel Punya Bisnis di Bali,2026-02-22 08:32:04,2026-08-15 03:06:29,2
CekFakta Tempo,[Tempo] Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/mengapa-pegawai-pemerintah-banyak-yang-terjerat-judi-online-2281881,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,2026-03-13 08:43:47,2026-08-15 03:06:29,3
CekFakta Tempo,[Tempo] Operasi Penyelamatan Trump Lewat Truk Katering,Operasi Penyelamatan Trump Lewat Truk Katering,Operasi Penyelamatan Trump Lewat Truk Katering,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/internasional/operasi-penyelamatan-donald-trump-lewat-truk-katering-2281877,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Operasi Penyelamatan Trump Lewat Truk Katering,2026-06-07 09:36:49,2026-08-15 03:06:29,4
CekFakta Tempo,[Tempo] Diskriminasi Proyek Strategis Nasional,Diskriminasi Proyek Strategis Nasional,Diskriminasi Proyek Strategis Nasional,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/diskriminasi-proyek-strategis-nasional-2281872,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Diskriminasi Proyek Strategis Nasional,2026-04-24 09:09:41,2026-08-15 03:06:29,5
CekFakta Tempo,[Tempo] Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/ekonomi/bagaimana-pemerintah-membayar-utang-rp-10-ribu-triliun-2281859,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,2026-06-07 09:36:49,2026-08-15 03:06:29,6
CekFakta Tempo,[Tempo] Skandal Pajak lewat Orang Dalam,Skandal Pajak lewat Orang Dalam,Skandal Pajak lewat Orang Dalam,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/skandal-pajak-lewat-orang-dalam-2281875,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Skandal Pajak lewat Orang Dalam,2026-07-08 09:55:56,2026-08-15 03:06:29,7
CekFakta Tempo,[Tempo] Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/papua-bendera-merah-putih-hari-kemerdekaan--2281647,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,2026-04-18 09:05:59,2026-08-15 03:06:29,8
CekFakta Tempo,[Tempo] Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/elektabilitas-psi-rendah-jokowi-effect-mulai-luntur--2281849,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,2026-01-11 08:06:10,2026-08-15 03:06:29,9
CekFakta Tempo,[Tempo] Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/teroka/jika-mikha-tambayong-berduet-dengan-rayi-putra-ran-2281873,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,2026-02-24 08:33:18,2026-08-15 03:06:29,10
