id,source_platform,original_title,raw_text,cleaned_text,tokens,token_count_before,token_count_after,reduction_percentage,label,category,source_url,published_at,label_text,label_num
1,CekFakta Tempo,[Tempo] Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,[Tempo] Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun Mengapa Kerugian Korupsi Timah Menciut Tinggal Rp 29 Triliun,tempo kerugian korupsi timah menciut tinggal rupiah 29 triliun kerugian korupsi timah menciut tinggal rupiah 29 triliun kerugian korupsi timah menciut tinggal rupiah 29 triliun,"tempo,kerugian,korupsi,timah,menciut,tinggal,rupiah,29,triliun,kerugian,korupsi,timah,menciut,tinggal,rupiah,29,triliun,kerugian,korupsi,timah,menciut,tinggal,rupiah,29,triliun",28,25,10.7,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/hukum/mengapa-kerugian-korupsi-timah-menciut-tinggal-rp-29-triliun-2281868,2026-05-21 09:26:20,FAKTA,0
2,CekFakta Tempo,[Tempo] Bagaimana Bisa Orang Israel Punya Bisnis di Bali,[Tempo] Bagaimana Bisa Orang Israel Punya Bisnis di Bali Bagaimana Bisa Orang Israel Punya Bisnis di Bali Bagaimana Bisa Orang Israel Punya Bisnis di Bali,tempo orang israel punya bisnis bali orang israel punya bisnis bali orang israel punya bisnis bali,"tempo,orang,israel,punya,bisnis,bali,orang,israel,punya,bisnis,bali,orang,israel,punya,bisnis,bali",25,16,36.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/hukum/bagaimana-bisa-orang-israel-punya-bisnis-di-bali-2281884,2026-02-22 08:32:04,FAKTA,0
3,CekFakta Tempo,[Tempo] Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,[Tempo] Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online Mengapa Pegawai Pemerintah Banyak yang Terjerat Judi Online,tempo pegawai pemerintah terjerat judi online pegawai pemerintah terjerat judi online pegawai pemerintah terjerat judi online,"tempo,pegawai,pemerintah,terjerat,judi,online,pegawai,pemerintah,terjerat,judi,online,pegawai,pemerintah,terjerat,judi,online",25,16,36.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/hukum/mengapa-pegawai-pemerintah-banyak-yang-terjerat-judi-online-2281881,2026-03-13 08:43:47,FAKTA,0
4,CekFakta Tempo,[Tempo] Operasi Penyelamatan Trump Lewat Truk Katering,[Tempo] Operasi Penyelamatan Trump Lewat Truk Katering Operasi Penyelamatan Trump Lewat Truk Katering Operasi Penyelamatan Trump Lewat Truk Katering,tempo operasi penyelamatan trump lewat truk katering operasi penyelamatan trump lewat truk katering operasi penyelamatan trump lewat truk katering,"tempo,operasi,penyelamatan,trump,lewat,truk,katering,operasi,penyelamatan,trump,lewat,truk,katering,operasi,penyelamatan,trump,lewat,truk,katering",19,19,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/internasional/operasi-penyelamatan-donald-trump-lewat-truk-katering-2281877,2026-06-07 09:36:49,FAKTA,0
5,CekFakta Tempo,[Tempo] Diskriminasi Proyek Strategis Nasional,[Tempo] Diskriminasi Proyek Strategis Nasional Diskriminasi Proyek Strategis Nasional Diskriminasi Proyek Strategis Nasional,tempo diskriminasi proyek strategis nasional diskriminasi proyek strategis nasional diskriminasi proyek strategis nasional,"tempo,diskriminasi,proyek,strategis,nasional,diskriminasi,proyek,strategis,nasional,diskriminasi,proyek,strategis,nasional",13,13,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/politik/diskriminasi-proyek-strategis-nasional-2281872,2026-04-24 09:09:41,FAKTA,0
6,CekFakta Tempo,[Tempo] Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,[Tempo] Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun Bagaimana Pemerintah Membayar Utang Rp 10 Ribu Triliun,tempo pemerintah membayar utang rupiah 10 ribu triliun pemerintah membayar utang rupiah 10 ribu triliun pemerintah membayar utang rupiah 10 ribu triliun,"tempo,pemerintah,membayar,utang,rupiah,10,ribu,triliun,pemerintah,membayar,utang,rupiah,10,ribu,triliun,pemerintah,membayar,utang,rupiah,10,ribu,triliun",25,22,12.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/ekonomi/bagaimana-pemerintah-membayar-utang-rp-10-ribu-triliun-2281859,2026-06-07 09:36:49,FAKTA,0
7,CekFakta Tempo,[Tempo] Skandal Pajak lewat Orang Dalam,[Tempo] Skandal Pajak lewat Orang Dalam Skandal Pajak lewat Orang Dalam Skandal Pajak lewat Orang Dalam,tempo skandal pajak lewat orang skandal pajak lewat orang skandal pajak lewat orang,"tempo,skandal,pajak,lewat,orang,skandal,pajak,lewat,orang,skandal,pajak,lewat,orang",16,13,18.8,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/hukum/skandal-pajak-lewat-orang-dalam-2281875,2026-07-08 09:55:56,FAKTA,0
8,CekFakta Tempo,[Tempo] Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,[Tempo] Beda Cara Warga di Papua Menyambut Hari Kemerdekaan Beda Cara Warga di Papua Menyambut Hari Kemerdekaan Beda Cara Warga di Papua Menyambut Hari Kemerdekaan,tempo beda cara warga papua menyambut hari kemerdekaan beda cara warga papua menyambut hari kemerdekaan beda cara warga papua menyambut hari kemerdekaan,"tempo,beda,cara,warga,papua,menyambut,hari,kemerdekaan,beda,cara,warga,papua,menyambut,hari,kemerdekaan,beda,cara,warga,papua,menyambut,hari,kemerdekaan",25,22,12.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/politik/papua-bendera-merah-putih-hari-kemerdekaan--2281647,2026-04-18 09:05:59,FAKTA,0
9,CekFakta Tempo,[Tempo] Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,[Tempo] Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur? Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur? Elektabilitas PSI Rendah. 'Jokowi Effect' Mulai Luntur?,tempo elektabilitas psi rendah jokowi effect mulai luntur elektabilitas psi rendah jokowi effect mulai luntur elektabilitas psi rendah jokowi effect mulai luntur,"tempo,elektabilitas,psi,rendah,jokowi,effect,mulai,luntur,elektabilitas,psi,rendah,jokowi,effect,mulai,luntur,elektabilitas,psi,rendah,jokowi,effect,mulai,luntur",22,22,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/politik/elektabilitas-psi-rendah-jokowi-effect-mulai-luntur--2281849,2026-01-11 08:06:10,FAKTA,0
10,CekFakta Tempo,[Tempo] Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,[Tempo] Jika Mikha Tambayong Berduet dengan Rayi Putra RAN Jika Mikha Tambayong Berduet dengan Rayi Putra RAN Jika Mikha Tambayong Berduet dengan Rayi Putra RAN,tempo mikha tambayong berduet rayi putra ran mikha tambayong berduet rayi putra ran mikha tambayong berduet rayi putra ran,"tempo,mikha,tambayong,berduet,rayi,putra,ran,mikha,tambayong,berduet,rayi,putra,ran,mikha,tambayong,berduet,rayi,putra,ran",25,19,24.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/teroka/jika-mikha-tambayong-berduet-dengan-rayi-putra-ran-2281873,2026-02-24 08:33:18,FAKTA,0
11,CekFakta Tempo,[Tempo] Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,[Tempo] Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,tempo skema danantara membiayai proyek besar sampah jadi listrik skema danantara membiayai proyek besar sampah jadi listrik skema danantara membiayai proyek besar sampah jadi listrik,"tempo,skema,danantara,membiayai,proyek,besar,sampah,jadi,listrik,skema,danantara,membiayai,proyek,besar,sampah,jadi,listrik,skema,danantara,membiayai,proyek,besar,sampah,jadi,listrik",25,25,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/bagaimana-pembiayaan-proyek-psel-oleh-danantara--2281854,2026-01-19 08:11:06,FAKTA,0
12,CekFakta Tempo,[Tempo] El Niño Masih Menguat Menuju Rekor Terparah,[Tempo] El Niño Masih Menguat Menuju Rekor Terparah El Niño Masih Menguat Menuju Rekor Terparah El Niño Masih Menguat Menuju Rekor Terparah,tempo el ni menguat menuju rekor te rupiah arah el ni menguat menuju rekor te rupiah arah el ni menguat menuju rekor te rupiah arah,"tempo,el,ni,menguat,menuju,rekor,te,rupiah,arah,el,ni,menguat,menuju,rekor,te,rupiah,arah,el,ni,menguat,menuju,rekor,te,rupiah,arah",22,25,-13.6,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/el-ni-o-masih-menguat-menuju-rekor-terparah-2281947,2026-07-01 09:51:37,FAKTA,0
13,CekFakta Tempo,[Tempo] Arsenal Vs Manchester City: Duel Baru Dua Seteru,[Tempo] Arsenal Vs Manchester City: Duel Baru Dua Seteru Arsenal Vs Manchester City: Duel Baru Dua Seteru Arsenal Vs Manchester City: Duel Baru Dua Seteru,tempo arsenal vs manchester city duel baru dua seteru arsenal vs manchester city duel baru dua seteru arsenal vs manchester city duel baru dua seteru,"tempo,arsenal,vs,manchester,city,duel,baru,dua,seteru,arsenal,vs,manchester,city,duel,baru,dua,seteru,arsenal,vs,manchester,city,duel,baru,dua,seteru",25,25,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/sepakbola/arsenal-vs-manchester-city-duel-baru-dua-seteru-2281866,2026-02-22 08:32:04,FAKTA,0
14,CekFakta Tempo,"[Tempo] Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca","[Tempo] Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca",tempo mulai 2027 ko rupiah orasi wajib buka data emisi gas rumah kaca mulai 2027 ko rupiah orasi wajib buka data emisi gas rumah kaca mulai 2027 ko rupiah orasi wajib buka data emisi gas rumah kaca,"tempo,mulai,2027,ko,rupiah,orasi,wajib,buka,data,emisi,gas,rumah,kaca,mulai,2027,ko,rupiah,orasi,wajib,buka,data,emisi,gas,rumah,kaca,mulai,2027,ko,rupiah,orasi,wajib,buka,data,emisi,gas,rumah,kaca",31,37,-19.4,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/mulai-2027-korporasi-wajib-buka-data-emisi-gas-rumah-kaca--2282046,2026-06-22 09:46:04,FAKTA,0
15,CekFakta Tempo,[Tempo] BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,[Tempo] BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,tempo bnpb pnm dorong warga agam bangkit melalui potensi lokal bnpb pnm dorong warga agam bangkit melalui potensi lokal bnpb pnm dorong warga agam bangkit melalui potensi lokal,"tempo,bnpb,pnm,dorong,warga,agam,bangkit,melalui,potensi,lokal,bnpb,pnm,dorong,warga,agam,bangkit,melalui,potensi,lokal,bnpb,pnm,dorong,warga,agam,bangkit,melalui,potensi,lokal",25,28,-12.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/info-tempo/bnpb-pnm-dorong-warga-agam-bangkit-melalui-potensi-lokal-2282041,2026-02-04 08:20:58,FAKTA,0
16,CekFakta Tempo,"[Tempo] Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi","[Tempo] Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi",tempo soal hgb stc walkot pekanbaru keputusan pemko berdasarkan hasil konsultasi soal hgb stc walkot pekanbaru keputusan pemko berdasarkan hasil konsultasi soal hgb stc walkot pekanbaru keputusan pemko berdasarkan hasil konsultasi,"tempo,soal,hgb,stc,walkot,pekanbaru,keputusan,pemko,berdasarkan,hasil,konsultasi,soal,hgb,stc,walkot,pekanbaru,keputusan,pemko,berdasarkan,hasil,konsultasi,soal,hgb,stc,walkot,pekanbaru,keputusan,pemko,berdasarkan,hasil,konsultasi",31,31,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/info-tempo/soal-hgb-stc-walkot-pekanbaru-keputusan-pemko-berdasarkan-hasil-konsultasi-2282042,2026-06-07 09:36:49,FAKTA,0
17,CekFakta Tempo,[Tempo] Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,[Tempo] Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,tempo umbu pariangu delapan jam melenyapkan kemanusiaan birokrasi umbu pariangu delapan jam melenyapkan kemanusiaan birokrasi umbu pariangu delapan jam melenyapkan kemanusiaan birokrasi,"tempo,umbu,pariangu,delapan,jam,melenyapkan,kemanusiaan,birokrasi,umbu,pariangu,delapan,jam,melenyapkan,kemanusiaan,birokrasi,umbu,pariangu,delapan,jam,melenyapkan,kemanusiaan,birokrasi",28,22,21.4,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/kolom/delapan-jam-yang-melenyapkan-kemanusiaan-birokrasi--2281870,2026-01-14 08:08:01,FAKTA,0
18,CekFakta Tempo,[Tempo] TempoKrisis Legitimasi Pemerintahan Prabowo,[Tempo] TempoKrisis Legitimasi Pemerintahan Prabowo TempoKrisis Legitimasi Pemerintahan Prabowo TempoKrisis Legitimasi Pemerintahan Prabowo,tempo tempokrisis legitimasi pemerintahan prabowo tempokrisis legitimasi pemerintahan prabowo tempokrisis legitimasi pemerintahan prabowo,"tempo,tempokrisis,legitimasi,pemerintahan,prabowo,tempokrisis,legitimasi,pemerintahan,prabowo,tempokrisis,legitimasi,pemerintahan,prabowo",13,13,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/kolom/krisis-legitimasi-pemerintahan-prabowo-subianto-2281846,2026-03-31 08:54:53,FAKTA,0
19,CekFakta Tempo,[Tempo] TempoCara Membaca Data Pengangguran dari Pemerintah,[Tempo] TempoCara Membaca Data Pengangguran dari Pemerintah TempoCara Membaca Data Pengangguran dari Pemerintah TempoCara Membaca Data Pengangguran dari Pemerintah,tempo tempocara membaca data pengangguran pemerintah tempocara membaca data pengangguran pemerintah tempocara membaca data pengangguran pemerintah,"tempo,tempocara,membaca,data,pengangguran,pemerintah,tempocara,membaca,data,pengangguran,pemerintah,tempocara,membaca,data,pengangguran,pemerintah",19,16,15.8,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/kolom/cara-membaca-data-pengangguran-dari-pemerintah-2281725,2026-04-23 09:09:04,FAKTA,0
20,CekFakta Tempo,"[Tempo] Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026","[Tempo] Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026 Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026 Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026",tempo berkolaborasi bank bjb jadi official banking partner persib musim 2026 berkolaborasi bank bjb jadi official banking partner persib musim 2026 berkolaborasi bank bjb jadi official banking partner persib musim 2026,"tempo,berkolaborasi,bank,bjb,jadi,official,banking,partner,persib,musim,2026,berkolaborasi,bank,bjb,jadi,official,banking,partner,persib,musim,2026,berkolaborasi,bank,bjb,jadi,official,banking,partner,persib,musim,2026",34,31,8.8,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/info-tempo/kembali-berkolaborasi-bank-bjb-jadi-official-banking-partner-persib-musim-2026-2282043,2026-05-05 09:16:28,FAKTA,0
